Chauffayer, France;44.756179;6.006991
La Godivelle, France;45.388412;2.922397
Greffern, France;48.752166;8.005605
Saint-Cirgues-de-Jordanne, France;45.028395;2.581165
Mazoires, France;45.392972;3.044254
Paris, France;48.856697;2.351462
Chastreix, France;45.512263;2.734148
Aydat, France;45.660903;2.975708
Wissembourg, France;49.036594;7.944511
Saint-Mesmes, France;48.984503;2.696388
Lyon, France;45.757814;4.832011
La Chapelle-Bertin, France;45.218992;3.648895
Sainte-Hélène, France;44.966417;-0.883424
Ternand, France;45.944193;4.528811
Digosville, France;49.631180;-1.525707
Saint-Pierre-Église, France;49.667988;-1.404647
Barfleur, France;49.670682;-1.264427
Carneville, France;49.665707;-1.450730
Maupertus-sur-Mer, France;49.659005;-1.487235
Le Theil, France;49.609895;-1.470807
Bretteville, France;49.655763;-1.519936
Metz, France;49.119696;6.176355
Tours, France;47.390047;0.688927
Clermont-Ferrand, France;45.777455;3.081943
Reims, France;49.257789;4.031926
Dijon, France;47.321581;5.041470
Orléans, France;47.902734;1.908607
Amiens, France;49.894171;2.295695
Toulouse, France;43.604462;1.444247
Limoges, France;45.835424;1.264485
Rennes, France;48.111339;-1.680020
Saint-Étienne, France;45.440147;4.387306
Nantes, France;47.218637;-1.554136
Besançon, France;47.238022;6.024362
Le Mans, France;48.007385;0.196785
Strasbourg, France;48.584614;7.750713
Mulhouse, France;47.746723;7.338994
Angers, France;47.473988;-0.551559
Lille, France;50.636565;3.063528
Toulon, France;43.125731;5.930492
Nîmes, France;43.837425;4.360069
Rouen, France;49.440459;1.093966
Grenoble, France;45.187560;5.735782
Boulogne-Billancourt, France;48.835665;2.240206
Aix-en-Provence, France;43.529842;5.447474
Saint-Brieuc, France;48.514113;-2.760328
Bois-d'Arcy, France;48.799856;2.023607
Châteaubriant, France;47.719406;-1.375728
Saverne, France;48.741991;7.362595
Gonesse, France;48.986356;2.450054
Douarnenez, France;48.094446;-4.331124
Montluçon, France;46.339928;2.606723
Arcueil, France;48.806500;2.336650
Moissy-Cramayel, France;48.627230;2.593707
Foix, France;42.963900;1.605381
Montmagny, France;48.972857;2.343561
Nœux-les-Mines, France;50.480890;2.662089
Saint-André-lez-Lille, France;50.660800;3.044680
Blanquefort, France;44.908898;-0.630036
Le Mée-sur-Seine, France;48.538186;2.633591
Dax, France;43.708407;-1.051877
Échirolles, France;45.143700;5.719270
Villepinte, France;48.963657;2.534754
Hendaye, France;43.364152;-1.761650
Sablé-sur-Sarthe, France;47.840071;-0.335205
Tournefeuille, France;43.582785;1.346654
Le Chesnay, France;48.827851;2.131960
Pierrelatte, France;44.377847;4.697661
Armentières, France;50.686728;2.882169
Coudekerque-Branche, France;51.020878;2.389432
Chatou, France;48.889704;2.157370
Joué-lès-Tours, France;47.351116;0.662235
Gentilly, France;48.815366;2.348355
Creil, France;49.260791;2.473377
Yutz, France;49.361506;6.191928
Vitry-le-François, France;48.726222;4.585162
Lunéville, France;48.591616;6.491956
Millau, France;44.100669;3.077759
Torcy, France;48.851500;2.652650
Béthune, France;50.522344;2.638560
Palaiseau, France;48.714459;2.245384
Antony, France;48.753554;2.295942
Neuilly-Plaisance, France;48.860871;2.506014
Chalette-sur-Loing, France;48.014464;2.732023
Neuilly-sur-Marne, France;48.856556;2.529005
Croix, France;50.680212;3.156436
Mazamet, France;43.490232;2.376436
Viroflay, France;48.799595;2.173057
Aubervilliers, France;48.914608;2.382189
Thionville, France;49.357927;6.167587
Valentigney, France;47.462292;6.830878
Roquebrune-Cap-Martin, France;43.764105;7.456570
Frontignan, France;43.448762;3.753064
Lanester, France;47.763973;-3.344449
Vieux-Condé, France;50.472423;3.567578
Marcq-en-Barœul, France;50.676702;3.104303
Sarrebourg, France;48.734239;7.055735
Bourg-en-Bresse, France;46.205119;5.225032
Saint-Égrève, France;45.232508;5.681781
Andrésy, France;48.982144;2.061057
Bourgoin-Jallieu, France;45.587226;5.282812
Athis-Mons, France;48.707903;2.389094
Franconville-la-Garenne, France;48.986025;2.230350
Garches, France;48.843749;2.185370
Stains, France;48.956567;2.382515
Wittelsheim, France;47.809109;7.240243
Saint-Cyr-sur-Loire, France;47.405245;0.665820
La Valette-du-Var, France;43.137825;5.983465
Noisiel, France;48.845735;2.620003
Clichy-la-Garenne, France;48.902600;2.305510
Six-Fours-les-Plages, France;43.093511;5.839395
Fos-sur-Mer, France;43.438071;4.945595
Maromme, France;49.476737;1.030821
Cognac, France;45.693165;-0.325018
La Garde, France;43.124918;6.012853
Cergy, France;49.052753;2.038874
Roubaix, France;50.691589;3.174173
Saint-Pierre-des-Corps, France;47.389815;0.718976
Plœmeur, France;47.735459;-3.427053
Le Blanc-Mesnil, France;48.938549;2.463148
Dinan, France;48.453978;-2.047687
Rillieux-la-Pape, France;45.823514;4.899437
Maubeuge, France;50.279642;3.967413
Abbeville, France;50.106083;1.833703
Beaucaire, France;43.808544;4.639265
Saint-Malo, France;48.649518;-2.026041
Chelles, France;48.878380;2.590549
La Ciotat, France;43.175859;5.606249
Canteleu, France;49.450799;1.035207
Hyères, France;43.120257;6.130161
Tarbes, France;43.232858;0.078102
Cahors, France;44.449500;1.436500
Septèmes-les-Vallons, France;43.398953;5.366396
Achères, France;48.960632;2.069811
Verrières-le-Buisson, France;48.746782;2.265384
Le Plessis-Robinson, France;48.781105;2.261963
Vélizy-Villacoublay, France;48.780950;2.190005
Étaples, France;50.513955;1.638625
Villefontaine, France;45.614003;5.158057
Conflans-Sainte-Honorine, France;48.993879;2.094977
Lognes, France;48.838416;2.632722
Sorgues, France;44.006640;4.872502
Manosque, France;43.833803;5.782666
Bailleul, France;50.739667;2.734929
Mennecy, France;48.566665;2.434704
Montbrison, France;45.607287;4.062732
Courcouronnes, France;48.617624;2.408721
Châteauroux, France;46.804700;1.695710
Saint-Leu-la-Forêt, France;49.021200;2.248080
Saint-Étienne-du-Rouvray, France;49.383100;1.091630
Roanne, France;46.034557;4.072918
Savigny-sur-Orge, France;48.679457;2.345842
Moulins, France;46.566053;3.333170
Avrillé, France;47.504566;-0.595654
Le Vésinet, France;48.894254;2.134729
Maisons-Alfort, France;48.801204;2.430970
Grande-Synthe, France;51.013481;2.302997
Orsay, France;48.699184;2.187457
Le Portel, France;50.707458;1.573716
Bry-sur-Marne, France;48.835287;2.519332
Carquefou, France;47.297198;-1.492123
Quimper, France;47.996032;-4.102478
Enghien-les-Bains, France;48.969973;2.306848
Aulnay-sous-Bois, France;48.934231;2.499789
Nanterre, France;48.892427;2.207127
Vichy, France;46.123927;3.420371
Guyancourt, France;48.770941;2.070608
Albert, France;50.001802;2.650922
Freyming-Merlebach, France;49.146944;6.818483
Mont-Saint-Aignan, France;49.467900;1.081300
Épinay-sur-Seine, France;48.952518;2.314504
